Time [s],Channel 0,Channel 1
0.000000000,1,0
0.006622833,1,1
0.006623833,1,0
0.006625083,1,1
0.006625750,1,0
0.006637417,1,1
0.006638250,1,0
0.006652917,1,1
0.006653583,1,0
0.006654167,1,1
0.006654750,1,0
0.006655583,1,1
0.006656167,1,0
0.006656583,1,1
0.006656750,1,0
0.006656917,1,1
0.006657083,1,0
0.006657250,1,1
0.006657417,1,0
0.006657833,1,1
0.006658000,1,0
0.006658083,1,1
0.006658333,1,0
0.006658417,1,1
0.006658583,1,0
0.006658750,1,1
0.006659083,1,0
0.006659250,1,1
0.006659333,1,0
0.006659417,1,1
0.006659500,1,0
0.006659583,1,1
0.006659750,1,0
0.006659917,1,1
0.006660000,1,0
0.006660083,1,1
0.006660250,1,0
0.006660333,1,1
0.006660417,1,0
0.006660500,1,1
0.006660583,1,0
0.006660750,1,1
0.006660833,1,0
0.006660917,1,1
0.006661000,1,0
0.006661083,1,1
0.006661167,1,0
0.006661250,1,1
0.006661417,1,0
0.006661583,1,1
0.006661750,1,0
0.006661833,1,1
0.006661917,0,0
0.006662000,0,1
0.006662083,0,0
0.006662167,0,1
0.006662250,0,0
0.006662417,0,1
0.006662583,0,0
0.006662667,0,1
0.006662750,0,0
0.006662833,0,1
0.006662917,0,0
0.006663000,0,1
0.006663083,0,0
0.006663167,0,1
0.006663333,0,0
0.006663417,0,1
0.006663500,0,0
0.006663583,0,1
0.006663750,0,0
0.006663833,0,1
0.006663917,0,0
0.006664000,0,1
0.006664167,0,0
0.006664333,0,1
0.006664500,0,0
0.006664583,0,1
0.006664667,0,0
0.006664833,0,1
0.006664917,0,0
0.006665000,0,1
0.006665167,0,0
0.006665333,0,1
0.006665417,0,0
0.006665500,0,1
0.006665667,0,0
0.006665750,0,1
0.006665833,0,0
0.006666000,0,1
0.006666083,0,0
0.006666167,0,1
0.006666333,0,0
0.006666417,0,1
0.006666500,0,0
0.006666667,0,1
0.006666750,0,0
0.006666833,0,1
0.006667000,0,0
0.006667167,0,1
0.006667250,0,0
0.006667333,0,1
0.006667500,0,0
0.006667667,0,1
0.006667833,0,0
0.006668000,0,1
0.006668083,0,0
0.006668167,0,1
0.006668250,0,0
0.006668333,0,1
0.006668417,0,0
0.006668500,0,1
0.006668583,0,0
0.006668667,0,1
0.006668833,0,0
0.006669000,0,1
0.006669083,0,0
0.006669167,0,1
0.006669250,0,0
0.006669333,0,1
0.006669500,0,0
0.006669667,0,1
0.006669833,0,0
0.006670167,0,1
0.006670250,0,0
0.006670333,0,1
0.006670500,0,0
0.006670833,0,1
0.006671000,0,0
0.006671167,0,1
0.006671333,0,0
0.006671500,0,1
0.006671667,0,0
0.006671750,0,1
0.006671833,0,0
0.006672000,0,1
0.006672083,0,0
0.006672167,0,1
0.006672250,0,0
0.006672333,0,1
0.006672417,0,0
0.006672500,0,1
0.006672667,0,0
0.006672750,0,1
0.006672833,0,0
0.006673167,0,1
0.006673250,0,0
0.006673333,0,1
0.006673500,0,0
0.006673583,0,1
0.006673667,0,0
0.006673833,0,1
0.006673917,0,0
0.006674000,0,1
0.006674167,0,0
0.006674333,0,1
0.006674417,0,0
0.006674500,0,1
0.006674667,0,0
0.006674750,0,1
0.006674833,0,0
0.006674917,0,1
0.006675000,0,0
0.006675333,0,1
0.006675417,0,0
0.006675500,0,1
0.006675667,0,0
0.006675833,0,1
0.006676000,0,0
0.006676083,0,1
0.006676167,0,0
0.006676333,0,1
0.006676500,0,0
0.006676667,0,1
0.006676833,0,0
0.006677167,0,1
0.006677250,0,0
0.006677333,0,1
0.006677417,0,0
0.006677500,0,1
0.006677583,0,0
0.006677667,0,1
0.006677833,0,0
0.006678000,0,1
0.006678167,0,0
0.006678250,0,1
0.006678333,0,0
0.006678500,0,1
0.006678667,0,0
0.006678750,0,1
0.006678833,0,0
0.006678917,0,1
0.006679000,0,0
0.006679250,0,1
0.006679333,0,0
0.006679417,0,1
0.006679500,0,0
0.006679667,0,1
0.006679833,0,0
0.006680250,0,1
0.006680333,0,0
0.006680583,0,1
0.006680667,0,0
0.006680750,0,1
